Gmt time,Open,High,Low,Close,Volume
17.04.2011 21:00:00.000,1.44096,1.44211,1.41617,1.42360,200630450317.38
18.04.2011 21:00:00.000,1.42369,1.43535,1.42060,1.43357,191782861572.27
19.04.2011 21:00:00.000,1.43371,1.45450,1.43292,1.45242,218538281616.21
20.04.2011 21:00:00.000,1.45246,1.46491,1.45061,1.45535,196437489501.95
21.04.2011 21:00:00.000,1.45551,1.45890,1.45350,1.45656,55833040039.06
24.04.2011 21:00:00.000,1.45598,1.46279,1.45262,1.45820,118216069580.08
25.04.2011 21:00:00.000,1.45824,1.46562,1.44943,1.46450,191214941650.39
26.04.2011 21:00:00.000,1.46451,1.47956,1.46332,1.47886,199678538330.08
27.04.2011 21:00:00.000,1.47886,1.48803,1.47700,1.48236,200722229003.91
28.04.2011 21:00:00.000,1.48236,1.48785,1.48050,1.48087,123274300170.9
30.04.2011 21:00:00.000,1.48087,1.48096,1.48087,1.48096,0
01.05.2011 21:00:00.000,1.48144,1.49023,1.47642,1.48311,162571479248.05
02.05.2011 21:00:00.000,1.48313,1.48898,1.47551,1.48262,204655001708.98
03.05.2011 21:00:00.000,1.48265,1.49405,1.47758,1.48285,222163347045.9
04.05.2011 21:00:00.000,1.48287,1.48986,1.45109,1.45431,243996501953.13
05.05.2011 21:00:00.000,1.45430,1.45882,1.43148,1.43158,272484777587.89
08.05.2011 21:00:00.000,1.43569,1.44415,1.42567,1.43665,260004887084.96
09.05.2011 21:00:00.000,1.43665,1.44129,1.42716,1.44103,295507988037.11
10.05.2011 21:00:00.000,1.44103,1.44239,1.41731,1.41933,273949548828.13
11.05.2011 21:00:00.000,1.41933,1.42763,1.41236,1.42460,283419648925.78
12.05.2011 21:00:00.000,1.42461,1.43392,1.40677,1.41201,280340732910.16
15.05.2011 21:00:00.000,1.40906,1.42449,1.40490,1.41570,262311211425.78
16.05.2011 21:00:00.000,1.41573,1.42390,1.41242,1.42380,255488551513.67
17.05.2011 21:00:00.000,1.42381,1.42874,1.41957,1.42504,227024301025.39
18.05.2011 21:00:00.000,1.42504,1.43255,1.42072,1.43139,243113812500
19.05.2011 21:00:00.000,1.43136,1.43460,1.41346,1.41597,225026979125.98
22.05.2011 21:00:00.000,1.41253,1.41506,1.39701,1.40490,244040499511.72
23.05.2011 21:00:00.000,1.40491,1.41330,1.40031,1.41011,238997298339.84
24.05.2011 21:00:00.000,1.41011,1.41192,1.40142,1.40890,243558519042.97
25.05.2011 21:00:00.000,1.40896,1.42070,1.40690,1.41449,248665249023.44
26.05.2011 21:00:00.000,1.41454,1.43242,1.41267,1.43182,245675690185.55
29.05.2011 21:00:00.000,1.43248,1.43248,1.42575,1.42831,114604070800.78
30.05.2011 21:00:00.000,1.42844,1.44246,1.42808,1.43981,221343507812.5
31.05.2011 21:00:00.000,1.43981,1.44592,1.43217,1.43290,230426750732.42
01.06.2011 21:00:00.000,1.43292,1.45126,1.43094,1.44931,215390199462.89
02.06.2011 21:00:00.000,1.44931,1.46432,1.44557,1.46374,209386208496.09
05.06.2011 21:00:00.000,1.46094,1.46585,1.45581,1.45766,214291039550.78
06.06.2011 21:00:00.000,1.45766,1.46964,1.45646,1.46923,208318998046.88
07.06.2011 21:00:00.000,1.46923,1.46970,1.45653,1.45836,221803780761.72
08.06.2011 21:00:00.000,1.45847,1.46467,1.44787,1.45111,215481739990.23
09.06.2011 21:00:00.000,1.45119,1.45511,1.43231,1.43481,228674541015.63
12.06.2011 21:00:00.000,1.43275,1.44308,1.43222,1.44140,212262442382.81
13.06.2011 21:00:00.000,1.44146,1.44981,1.43793,1.44415,218268099121.09
14.06.2011 21:00:00.000,1.44415,1.44521,1.41568,1.41818,250943882080.08
15.06.2011 21:00:00.000,1.41817,1.42197,1.40740,1.42100,281641568847.66
16.06.2011 21:00:00.000,1.42106,1.43400,1.41282,1.43072,243801429443.36
19.06.2011 21:00:00.000,1.42773,1.43279,1.41922,1.43050,209301121093.75
20.06.2011 21:00:00.000,1.43051,1.44233,1.43041,1.44142,212905460693.36
21.06.2011 21:00:00.000,1.44142,1.44421,1.43432,1.43557,207978869628.91
22.06.2011 21:00:00.000,1.43563,1.43588,1.41277,1.42570,236655828857.42
23.06.2011 21:00:00.000,1.42570,1.43067,1.41442,1.41892,225469700073.24
26.06.2011 21:00:00.000,1.41946,1.42931,1.41033,1.42874,217373377685.55
27.06.2011 21:00:00.000,1.42878,1.43973,1.42380,1.43722,229941772583.01
28.06.2011 21:00:00.000,1.43722,1.44485,1.43392,1.44366,215782137939.45
29.06.2011 21:00:00.000,1.44361,1.45383,1.44278,1.45033,208480940185.55
30.06.2011 21:00:00.000,1.45027,1.45512,1.44391,1.45285,200390343261.72
03.07.2011 21:00:00.000,1.45351,1.45788,1.44961,1.45417,140098270019.53
04.07.2011 21:00:00.000,1.45422,1.45541,1.43989,1.44299,200168439575.2
05.07.2011 21:00:00.000,1.44301,1.44671,1.42868,1.43211,208453398315.43
06.07.2011 21:00:00.000,1.43221,1.43750,1.42237,1.43640,206430041503.91
07.07.2011 21:00:00.000,1.43651,1.43699,1.42150,1.42655,221325280761.72
10.07.2011 21:00:00.000,1.42093,1.42288,1.39871,1.40316,259302361083.98
11.07.2011 21:00:00.000,1.40316,1.40626,1.38377,1.39767,342416790527.34
12.07.2011 21:00:00.000,1.39764,1.41927,1.39522,1.41609,285592030761.72
13.07.2011 21:00:00.000,1.41627,1.42813,1.41162,1.41435,296493681884.77
14.07.2011 21:00:00.000,1.41435,1.41988,1.40931,1.41568,245831999755.86
